OriginalLabel,EncodedLabel
1101053,0
1101054,1
1101055,2
1101056,3
1101057,4
1101058,5
1101060,6
1101061,7
1101063,8
1101064,9
1101067,10
1101068,11
1101069,12
1101070,13
1101071,14
1101072,15
1101073,16
1102052,17
1102054,18
1102055,19
1102057,20
1102058,21
1102059,22
1102060,23
1102065,24
1102067,25
1102068,26
1102069,27
1102070,28
1102071,29
1102072,30
1102073,31
1103051,32
1103052,33
1103053,34
1103057,35
1103058,36
1103059,37
1103063,38
1103064,39
1103065,40
1103066,41
1103069,42
1103070,43
1103071,44
1103072,45
1103073,46
1103074,47
1104052,48
1104054,49
1104055,50
1104056,51
1104057,52
1104058,53
1104059,54
1104062,55
1104065,56
1104066,57
1104067,58
1104068,59
1104069,60
1104070,61
1104071,62
1104072,63
1104073,64
1105053,65
1105054,66
1105055,67
1105056,68
1105057,69
1105058,70
1105059,71
1105060,72
1105061,73
1105062,74
1105063,75
1105064,76
1105065,77
1105066,78
1105067,79
1106071,80
1106072,81
1106073,82
1106080,83
1106081,84
1106082,85
1106083,86
1106084,87
1106086,88
1106087,89
1106088,90
1106089,91
1106090,92
1106091,93
1107052,94
1107054,95
1107055,96
1107057,97
1107059,98
1107060,99
1107061,100
1107062,101
1107064,102
1107065,103
1107068,104
1107069,105
1107070,106
1107071,107
1107072,108
1107073,109
1108058,110
1108059,111
1108060,112
1108061,113
1108062,114
1108063,115
1108064,116
1108065,117
1108066,118
1108068,119
1108071,120
1108072,121
1108076,122
1108077,123
1108078,124
1108081,125
1108082,126
1108083,127
1108084,128
1108085,129
1109060,130
1109061,131
1109062,132
1109063,133
1109064,134
1109065,135
1109069,136
1109070,137
1109071,138
1109072,139
1109073,140
1109074,141
1109075,142
1110051,143
1110052,144
1110053,145
1110054,146
1110055,147
1110056,148
1110057,149
1110059,150
1110060,151
1110061,152
1110062,153
1110063,154
1110064,155
1110065,156
1111051,157
1111052,158
1111053,159
1111056,160
1111058,161
1111059,162
1111060,163
1111061,164
1111064,165
1111065,166
1111066,167
1111069,168
1111072,169
1111073,170
1111074,171
1111076,172
1111077,173
1111078,174
1111079,175
1112051,176
1112052,177
1112055,178
1112056,179
1112057,180
1112058,181
1112059,182
1112060,183
1112065,184
1112066,185
1112067,186
1112068,187
1112071,188
1112072,189
1112073,190
1112074,191
1113052,192
1113062,193
1113064,194
1113065,195
1113066,196
1113068,197
1113069,198
1113070,199
1113071,200
1113072,201
1113073,202
1113074,203
1113075,204
1113076,205
1114059,206
1114060,207
1114061,208
1114063,209
1114066,210
1114068,211
1114069,212
1114070,213
1114071,214
1114072,215
1114073,216
1114074,217
1114075,218
1114076,219
1114077,220
1114078,221
1115051,222
1115052,223
1115053,224
1115054,225
1115057,226
1115058,227
1115059,228
1115060,229
1115061,230
1115062,231
1115063,232
1115064,233
1115065,234
1115066,235
1115069,236
1115070,237
1115071,238
1115072,239
1116051,240
1116052,241
1116053,242
1116054,243
1116055,244
1116057,245
1116058,246
1116059,247
1116061,248
1116063,249
1116064,250
1116065,251
1116066,252
1116067,253
1116069,254
1116070,255
1116071,256
1116072,257
1116073,258
1116074,259
1117051,260
1117052,261
1117054,262
1117055,263
1117056,264
1117061,265
1117062,266
1117064,267
1117065,268
1117067,269
1117068,270
1117069,271
1117070,272
1117071,273
1117072,274
1118051,275
1118052,276
1118053,277
1118054,278
1118055,279
1118057,280
1118058,281
1118059,282
1118060,283
1118061,284
1119054,285
1119055,286
1119056,287
1119061,288
1119062,289
1119063,290
1119065,291
1119066,292
1119067,293
1119068,294
1119069,295
1119070,296
1119071,297
1119072,298
1119073,299
1119074,300
1119075,301
1119076,302
1120052,303
1120053,304
1120054,305
1120055,306
1120056,307
1120063,308
1120065,309
1120066,310
1120067,311
1120068,312
1120069,313
1120070,314
1120071,315
1120072,316
1120073,317
1121052,318
1121054,319
1121057,320
1121058,321
1121061,322
1121062,323
1121063,324
1121064,325
1121065,326
1121066,327
1121068,328
1121069,329
1121071,330
1121072,331
1121073,332
1121078,333
1121079,334
1121080,335
1121081,336
1121082,337
1121083,338
1122051,339
1122052,340
1122053,341
1122054,342
1122055,343
1122056,344
1122057,345
1122058,346
1122059,347
1122060,348
1122061,349
1122062,350
1122063,351
1122064,352
1122065,353
1122066,354
1122067,355
1122068,356
1123051,357
1123052,358
1123053,359
1123058,360
1123059,361
1123060,362
1123063,363
1123064,364
1123065,365
1123066,366
1123067,367
1123068,368
1123071,369
1123072,370
1123073,371
1123074,372
1123075,373
1123076,374
1123077,375
1123078,376
1123079,377
1123080,378
1124051,379
1124052,380
1124053,381
1124054,382
1124055,383
1124056,384
1124057,385
1124058,386
1124059,387
1124060,388
1124061,389
1124062,390
1124063,391
1124064,392
1124065,393
1124066,394
1124067,395
1124068,396
1124069,397
1124071,398
1124075,399
1124077,400
1124078,401
1124079,402
1124080,403
1124081,404
1124082,405
1125051,406
1125052,407
1125053,408
1125054,409
1125055,410
1125056,411
1125058,412
1125059,413
1125061,414
1125063,415
1125065,416
1125066,417
1125067,418
1125070,419
1125071,420
1125072,421
1125073,422
1125074,423
