읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설수,학원수 (개),지역 문화 복지 시설,영화관,박물관,미술관,공연장,공원수,도서관 수,녹지 만족도(10점 평균),소음,대기오염,휴식공간 및 녹지부족,수질오염,범죄 폭력,길거리의 쓰레기방치,주차질서
1101053,종로구,사직동,46.3,46.1,46.4,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101054,종로구,삼청동,49.5,48.3,50.5,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101055,종로구,부암동,46.4,45.1,47.6,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101056,종로구,평창동,46.2,45.0,47.3,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101057,종로구,무악동,44.6,44.6,44.5,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101058,종로구,교남동,43.7,42.9,44.4,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101060,종로구,가회동,47.6,46.2,48.9,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101064,종로구,이화동,45.5,44.6,46.2,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101067,종로구,창신1동,51.1,50.3,52.0,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101068,종로구,창신2동,50.7,49.5,51.9,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101069,종로구,창신3동,46.9,45.7,48.1,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101070,종로구,숭인1동,48.3,47.3,49.1,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101071,종로구,숭인2동,44.8,46.1,43.5,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101072,종로구,청운효자동,45.0,43.6,46.3,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1101073,종로구,혜화동,42.5,41.4,43.5,180,3,248,5,6,33,20,167,106,7,6.18,65.2,63.4,71.0,68.5,55.2,52.0,48.4
1102052,중구,소공동,42.4,43.1,41.7,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102054,중구,회현동,51.4,51.5,51.3,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102055,중구,명동,50.5,48.1,52.2,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102057,중구,필동,46.0,45.4,46.7,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102058,중구,장충동,43.3,41.8,44.9,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102059,중구,광희동,45.1,45.9,44.4,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102060,중구,을지로동,44.0,45.6,42.1,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102065,중구,신당5동,45.9,45.6,46.1,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102067,중구,황학동,43.5,43.2,43.7,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102068,중구,중림동,44.4,44.1,44.7,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102069,중구,신당동,46.9,47.3,46.5,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102070,중구,다산동,47.1,45.8,48.2,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102071,중구,약수동,48.6,47.2,49.9,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102072,중구,청구동,47.4,46.1,48.6,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1102073,중구,동화동,46.5,45.5,47.5,170,0,108,15,9,16,1,29,70,9,6.24,65.1,64.2,71.6,75.1,71.9,62.2,53.1
1103051,용산구,후암동,45.5,44.0,46.9,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103052,용산구,용산2가동,47.5,45.8,49.1,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103053,용산구,남영동,50.6,52.1,48.2,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103057,용산구,원효로2동,44.6,44.3,44.8,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103058,용산구,효창동,42.8,41.9,43.6,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103059,용산구,용문동,45.5,44.4,46.5,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103063,용산구,이촌1동,43.6,42.3,44.7,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103064,용산구,이촌2동,47.5,46.0,48.7,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103065,용산구,이태원1동,47.6,45.8,49.5,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103066,용산구,이태원2동,46.5,44.8,48.0,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
1103069,용산구,서빙고동,44.4,43.3,45.4,122,2,151,8,3,6,5,14,107,4,6.31,61.9,58.0,69.9,67.4,62.9,57.6,51.5
