읍면동,구 이름,동 이름,전체평균연령,남자,여자,약국,여성 복지 시설,교육 시설,문화 복지 시설,영화관,박물관,미술관,공연장,공원,도서관,녹지 분포,소음,대기청결도,휴식공간,수질오염,치안,깨끗한 길거리,주차질서
1101053,종로구,사직동,46.3,46.1,46.4,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101054,종로구,삼청동,49.5,48.3,50.5,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101055,종로구,부암동,46.4,45.1,47.6,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101056,종로구,평창동,46.2,45.0,47.3,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101057,종로구,무악동,44.6,44.6,44.5,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101058,종로구,교남동,43.7,42.9,44.4,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101060,종로구,가회동,47.6,46.2,48.9,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101064,종로구,이화동,45.5,44.6,46.2,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101067,종로구,창신1동,51.1,50.3,52.0,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101068,종로구,창신2동,50.7,49.5,51.9,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101069,종로구,창신3동,46.9,45.7,48.1,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101070,종로구,숭인1동,48.3,47.3,49.1,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101071,종로구,숭인2동,44.8,46.1,43.5,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101072,종로구,청운효자동,45.0,43.6,46.3,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1101073,종로구,혜화동,42.5,41.4,43.5,0.16486486486486485,0.5,0.05852842809364549,0.0,0.5555555555555556,1.0,1.0,1.0,0.3863636363636364,0.2727272727272727,0.5775862068965516,0.3875000000000002,0.383495145631068,0.46153846153846123,0.19313304721030056,0.02602230483271395,0.0,0.11999999999999966
1102052,중구,소공동,42.4,43.1,41.7,0.13783783783783782,0.0,0.0,0.7142857142857143,0.8888888888888888,0.48484848484848486,0.05,0.16867469879518074,0.11363636363636359,0.4545454545454546,0.6293103448275872,0.38333333333333286,0.4223300970873787,0.4945054945054941,0.47639484978540736,0.6468401486988848,0.6257668711656446,0.4333333333333331
1102054,중구,회현동,51.4,51.5,51.3,0.13783783783783782,0.0,0.0,0.7142857142857143,0.8888888888888888,0.48484848484848486,0.05,0.16867469879518074,0.11363636363636359,0.4545454545454546,0.6293103448275872,0.38333333333333286,0.4223300970873787,0.4945054945054941,0.47639484978540736,0.6468401486988848,0.6257668711656446,0.4333333333333331
1102055,중구,명동,50.5,48.1,52.2,0.13783783783783782,0.0,0.0,0.7142857142857143,0.8888888888888888,0.48484848484848486,0.05,0.16867469879518074,0.11363636363636359,0.4545454545454546,0.6293103448275872,0.38333333333333286,0.4223300970873787,0.4945054945054941,0.47639484978540736,0.6468401486988848,0.6257668711656446,0.4333333333333331
1102057,중구,필동,46.0,45.4,46.7,0.13783783783783782,0.0,0.0,0.7142857142857143,0.8888888888888888,0.48484848484848486,0.05,0.16867469879518074,0.11363636363636359,0.4545454545454546,0.6293103448275872,0.38333333333333286,0.4223300970873787,0.4945054945054941,0.47639484978540736,0.6468401486988848,0.6257668711656446,0.4333333333333331
1102058,중구,장충동,43.3,41.8,44.9,0.13783783783783782,0.0,0.0,0.7142857142857143,0.8888888888888888,0.48484848484848486,0.05,0.16867469879518074,0.11363636363636359,0.4545454545454546,0.6293103448275872,0.38333333333333286,0.4223300970873787,0.4945054945054941,0.47639484978540736,0.6468401486988848,0.6257668711656446,0.4333333333333331
1102059,중구,광희동,45.1,45.9,44.4,0.13783783783783782,0.0,0.0,0.7142857142857143,0.8888888888888888,0.48484848484848486,0.05,0.16867469879518074,0.11363636363636359,0.4545454545454546,0.6293103448275872,0.38333333333333286,0.4223300970873787,0.4945054945054941,0.47639484978540736,0.6468401486988848,0.6257668711656446,0.4333333333333331
1102060,중구,을지로동,44.0,45.6,42.1,0.13783783783783782,0.0,0.0,0.7142857142857143,0.8888888888888888,0.48484848484848486,0.05,0.16867469879518074,0.11363636363636359,0.4545454545454546,0.6293103448275872,0.38333333333333286,0.4223300970873787,0.4945054945054941,0.47639484978540736,0.6468401486988848,0.6257668711656446,0.4333333333333331
