line,station,address,동네
1호선,소요산,경기도 동두천시 상봉암동 126-3,상봉암동
1호선,동두천,경기도 동두천시 동두천동 245-210,동두천동
1호선,보산,경기도 동두천시 보산동 422,보산동
1호선,동두천중앙,경기도 동두천시 생연동 726-3,생연동
1호선,지행,경기도 동두천시 지행동 424-1,지행동
1호선,덕정,경기도 양주시 덕정동 350-14,덕정동
1호선,덕계,경기도 양주시 덕계동 209-5,덕계동
1호선,양주,경기도 양주시 남방동 94-1,남방동
1호선,녹양,경기도 의정부시 녹양동 96-1,녹양동
1호선,가능,경기도 의정부시 가능동 197-1,가능동
1호선,의정부,경기도 의정부시 의정부동 168-54,의정부동
1호선,회룡,경기도 의정부시 호원동 50-5,호원동
1호선,망월사,경기도 의정부시 호원동 50-5,호원동
1호선,도봉산,서울특별시 도봉구 도봉동 18-1,도봉동
1호선,도봉,서울특별시 도봉구 도봉동 639,도봉동
1호선,방학,서울특별시 도봉구 방학동 728,방학동
1호선,창동,서울특별시 도봉구 창동 135-1,창동
1호선,녹천,서울특별시 도봉구 창동 57-11,창동
1호선,월계,서울특별시 노원구 월계동 263-1,월계동
1호선,광운대,서울특별시 노원구 월계동 85,월계동
1호선,석계,서울특별시 노원구 월계동 36-4,월계동
1호선,신이문,서울특별시 동대문구 이문동 7,이문동
1호선,외대앞,서울특별시 동대문구 이문동 360-5,이문동
1호선,회기,서울특별시 동대문구 휘경동 317-101,휘경동
1호선,남영,서울특별시 용산구 갈월동 96-1,갈월동
1호선,용산,서울특별시 용산구 한강로3가 40-999,한강로동
1호선,노량진,서울특별시 동작구 노량진동 67-2,노량진동
1호선,대방,서울특별시 영등포구 신길동 1368-3,신길동
1호선,신길,서울특별시 영등포구 신길동 41-1,신길동
1호선,영등포,서울특별시 영등포구 영등포동 618-496,영등포동
1호선,신도림,서울특별시 구로구 신도림동 460-26,신도림동
1호선,구로,서울특별시 구로구 구로동 585-3,구로동
1호선,구일,서울특별시 구로구 구로동 636-45,구로동
1호선,개봉,서울특별시 구로구 개보동 415,개보동
1호선,오류동,서울특별시 구로구 오류동 66,오류동
1호선,온수,서울특셜시 구로구 온수동 51-7,온수동
1호선,역곡,경기도 부천시 원미곡 역곡동 382,역곡동
1호선,소사,경기도 부천시 소사구 소사본동 395,소사본동
1호선,부천,경기도 부천시 소사구 심곡본동 316-2,심곡본동
1호선,중동,경기도 부천시 소사구 송내동 632,송내동
1호선,송내,경기도 부천시 소사구 송내동 632-4,송내동
1호선,부개,인천광역시 부평구 부개동 468,부개동
1호선,부평,인천광역시 부평구 부평동 738-21,부평동
1호선,백운,인천광역시 부평구 십정동 541-1,십정동
1호선,동암,인천광역시 부평구 십정동 541-1,십정동
1호선,간석,인천광역시 남동구 간석동 757,간석동
1호선,주안,인천광역시 남구 주안동 125,주안동
1호선,도화,인천광역시 남구 도화동 668,도화동
1호선,제물포,인천광역시 남구 숭의동 450-39,숭의동
1호선,도원,인천광역시 동구 창영동 179-1,창영동
1호선,동인천,인천광역시 중구 인현동 1-613,인현동
1호선,인천,인천광역시 중구 북성동1가 3-1,북성동
1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,가산동
1호선,독산,서울특별시 금천구 가산동 717,가산동
1호선,금천구청,서울특별시 금천구 시흥동 113-55,시흥동
1호선,석수,경기도 안양시 만악구 석수동 737,석수동
1호선,관악,경기도 안양시 만악구 석수동 101-16,석수동
1호선,안양,경기도 안양시 만안구 안양동 88-1,안양동
1호선,명학,경기도 안양시 만안구 안양동 1163-1,안양동
1호선,금정,경기도 군포시 금정동 613,금정동
1호선,군포,경기도 군포시 당동 134-1,당동
1호선,당정,경기도 군포시 당정동 938,당정동
1호선,의왕,경기도 의왕시 삼동 191,삼동
1호선,성균관대,경기도 수원시 장안구 율전동 495-2,율전동
1호선,화서,경기도 수원시 팔달구 화서동 464,화서동
1호선,수원,경기도 수원시 팔달구 매산로1가 18,매산동
